Müşteri Sorusu (SORU),Temsilci Cevabı (CEVAP)
"Merhaba, 24xx sunucu kiralamak istiyorum ama 1 yıllık peşin ödeme yapmak istemiyorum. Aylık seçenek var mı?","Merhabalar, 24xx sunucularımızda yıllık kampanya nedeniyle aylık kiralama seçeneğimiz maalesef mevcut değildir. Sadece 1299 sunucularda aylık kiralama yapabilirsiniz."

"Selam, sunucuyu alsak ne kadar sürede kurup teslim ediyorsunuz?","Merhaba efendim, seçtiğiniz sunucuya ve ek taleplerinize göre değişmekle birlikte ortalama kurulum süremiz 30-35 dakikadır."

"Fiziksel sunucularda ekran kartı seçenekleriniz neler?","Elbette, ekran kartlı fiziksel sunucularımızı bu linkten inceleyebilirsiniz: https://poyrazbilisim.com.tr/gpuserver"

"İyi günler, sunucuma domain bağlayabilir miyim yoksa sadece ip ile mi gireceğiz?","İyi günler, bizden aldığınız hizmette domain hizmeti bulunmamaktadır. Sunucuya sadece IP adresi üzerinden erişim sağlanmaktadır. Dilerseniz farklı bir firmadan domain alıp sunucu IP adresine yönlendirebilirsiniz."

Sunucularda bot sistemi var mı? Özellikle 24xx için soruyorum.,1299 sunucularda bot sistemi yoktur. 24xx sunucularda ise mevcuttur.

Özel bir DB kurdurmak istesek maliyeti ne olur?,"Eğer standart dışı, özel bir veritabanı kurulacaksa bir kerelik 5000 TL ek ücreti bulunmaktadır. Bu ücret doğrudan veritabanı uzmanına aktarılmaktadır."

Sunucularınızın lokasyonu nerede? / Sunucular Türkiye'de mi?,"Evet, tüm fiziksel ve sanal sunucularımız Türkiye lokasyonludur. Bu sayede düşük gecikme (ping) süreleri elde edersiniz."

Sunucuyu aldıktan sonra kurulum ne kadar sürüyor? / Sunucum ne zaman teslim edilir?,Ortalama kurulum ve teslimat süremiz 30-35 dakikadır. Özel taleplerde bu süre biraz daha uzayabilir.

Sunucuma kendi domainimi (alan adımı) bağlayabilir miyim?,"Hayır, firmamız domain hizmeti sunmamaktadır. Sunucuya erişim size verilen IP adresi üzerinden sağlanır. Ancak farklı bir firmadan aldığınız domaini sunucu IP'nize yönlendirebilirsiniz."

Hangi işletim sistemlerini kurabiliyorsunuz? / Windows kuruyor musunuz?,"Standart olarak Windows Server ve popüler Linux dağıtımlarını (Ubuntu, CentOS vb.) kuruyoruz. Özel bir işletim sistemi talebiniz varsa destek ekibimizle görüşebilirsiniz."

DDoS korumanız var mı? / Saldırılara karşı koruma sağlıyor musunuz?,"Evet, tüm sunucularımızda yurt içi ve yurt dışı kaynaklı DDoS saldırılarına karşı gelişmiş koruma katmanı standart olarak sunulmaktadır."

Sunucuya format atabilir miyim? / İşletim sistemini yeniden kurabilir miyim?,"Destek talebi açarsanız, dakikalar içinde halledilecektir."

Fiziksel sunucu ile sanal sunucu (VDS/VPS) arasındaki fark nedir?,"Fiziksel sunucuda tüm donanım kaynakları (CPU, RAM, Disk) tamamen size aittir. Sanal sunucu ise bir fiziksel sunucunun mantıksal olarak bölünmesiyle oluşturulur ve kaynaklar garantili şekilde size atanır."

1299 sunucu özelliklerini detaylı öğrenebilir miyim? / v1299 paket detayları nedir?,"1299 sunucularımızın tüm teknik detayları, databaseleri ve özellikleri forum sitemizde mevcuttur: https://forum.poyrazbilisim.com/forums/ko-v1299-%C3%96zellikleri.10/"

